x,y
-0.406995,-0.377698
-0.837202,0.251079
-0.665119,-0.000431741
-0.733952,0.100173
-0.706419,0.0599309
-0.717432,0.0760276
-0.713027,0.0695889
-0.569736,-0.232323
-0.34007,-0.40446
-0.0966693,-0.443418
-0.961332,0.277367
-0.615467,-0.0109468
-0.463376,-0.254506
-0.250363,-0.378775
-0.899855,0.25151
-0.640058,-0.000604062
-0.743977,0.100242
-0.605519,-0.221407
-0.757792,0.188563
-0.651347,-0.159809
-0.4311,-0.381994
-0.82756,0.252798
-0.730065,-0.138898
-0.707974,0.155559
-0.600284,-0.164965
-0.39023,-0.365487
-0.843908,0.246195
-0.739848,-0.150455
-0.704061,0.160182
-0.718376,0.0359272
-0.71265,0.0856291
-0.71494,0.0657483
-0.569654,-0.236007
-0.338534,-0.407227
-0.864586,0.262891
-0.654165,-0.00515633
-0.495103,-0.265585
-0.270044,-0.399886
-0.0452794,-0.411931
-0.981888,0.264772
-0.852144,-0.191528
-0.659142,0.176611
-0.571593,-0.129432
-0.771363,0.151773
-0.691455,0.0392908
-0.541222,-0.246721
-0.31264,-0.403997
-0.076008,-0.432094
-0.969597,0.272837
-0.846029,-0.180482
-0.570789,-0.475578
-0.771684,0.290231
-0.691326,-0.0160925
-0.72347,0.106437
-0.592412,-0.208496
-0.366835,-0.395421
-0.853266,0.258169
-0.75175,-0.145098
-0.6993,0.158039
-0.72028,0.0367843
-0.562126,-0.260156
-0.775149,0.204062
-0.68994,0.018375
-0.531705,-0.262011
-0.787318,0.204804
-0.680284,-0.159276
-0.453305,-0.393163
-0.187247,-0.480126
-0.925101,0.29205
-0.629959,-0.0168202
-0.472041,-0.264767
-0.811184,0.205907
-0.698862,-0.167984
-0.720455,0.167194
-0.711818,0.0331225
-0.715273,0.086751
-0.713891,0.0652996
-0.568677,-0.235929
-0.337823,-0.406777
-0.864871,0.262711
-0.654052,-0.00508425
-0.495046,-0.265485
-0.801982,0.206194
-0.679207,0.0175224
-0.728317,0.092991
-0.708673,0.0628036
-0.716531,0.0748786
-0.574515,-0.229705
-0.770194,0.191882
-0.6621,-0.162247
-0.73516,0.164899
-0.705936,0.0340404
-0.717626,0.0863838
-0.71295,0.0654465
-0.71482,0.0738214
-0.572792,-0.229824
-0.343392,-0.403783
-0.862643,0.261513
-0.760214,-0.146307
-0.695914,0.158523
-0.592304,-0.157888
-0.386996,-0.356917
-0.845202,0.242767
-0.73946,-0.153578
-0.704216,0.161431
-0.599777,-0.158999
-0.392231,-0.36075
-0.153796,-0.431062
-0.938482,0.272425
-0.624607,-0.00896993
-0.471114,-0.25666
-0.811555,0.202664
-0.675378,0.0189344
-0.729849,0.0924262
-0.591656,-0.221696
-0.763338,0.188678
-0.655608,-0.16194
-0.737757,0.164776
-0.704897,0.0340897
-0.549358,-0.256051
-0.315092,-0.414342
-0.0737329,-0.440936
-0.970507,0.276375
-0.611797,-0.0105498
-0.755281,0.10422
-0.615702,-0.222905
-0.378771,-0.415689
-0.121591,-0.467432
0.0945639,-0.403884
-1.03783,0.261554
-0.58487,-0.00462151
-0.766052,0.101849
-0.693579,0.0592606
-0.550824,-0.232394
-0.325669,-0.396949
-0.869732,0.25878
-0.764508,-0.15122
-0.520538,-0.420731
-0.791785,0.268292
-0.709073,-0.112812
-0.716371,0.145125
-0.713452,0.0419501
-0.714619,0.0832199
-0.576399,-0.222601
-0.349023,-0.399736
-0.105363,-0.443408
-0.957855,0.277363
-0.838915,-0.172346
-0.664434,0.168938
-0.734226,0.0324247
-0.706309,0.0870301
-0.571607,-0.216381
-0.771357,0.186552
-0.660852,-0.166763
-0.735659,0.166705
-0.625783,-0.167568
-0.408568,-0.377665
-0.159446,-0.450452
-0.936222,0.280181
-0.625511,-0.0120724
-0.47056,-0.25938
-0.253874,-0.385352
-0.038803,-0.394417
-0.984479,0.257767
-0.851311,-0.197889
-0.659476,0.179155
-0.73621,0.0283378
-0.705516,0.0886649
-0.717794,0.064534
-0.712883,0.0741864
-0.571465,-0.228771
-0.771414,0.191509
-0.691434,0.0233966
-0.723426,0.0906414
-0.58606,-0.220483
-0.765576,0.188193
-0.69377,0.0247227
-0.537154,-0.258719
-0.785138,0.203487
-0.685945,0.018605
-0.725622,0.092558
-0.709751,0.0629768
-0.7161,0.0748093
-0.71356,0.0700763
-0.570336,-0.232166
-0.340589,-0.404581
-0.0970154,-0.443717
0.103755,-0.376031
-1.0415,0.250412
-0.891707,-0.226287
-0.587182,-0.528661
-0.234794,-0.636655
0.0762187,-0.577775
0.289036,-0.408622
-1.11561,0.263449
-0.553754,-0.0053795
-0.418701,-0.22559
-0.227977,-0.338929
-0.0376909,-0.348777
-0.984924,0.239511
-0.844346,-0.211941
-0.662261,0.184777
-0.735095,0.0260894
-0.569108,-0.27421
-0.772357,0.209684
-0.670865,-0.149583
-0.731654,0.159833
-0.707338,0.0360668
-0.552004,-0.255525
-0.317313,-0.415
-0.873075,0.266
-0.65077,-0.00640004
-0.739692,0.10256
-0.60319,-0.217931
-0.371252,-0.406904
-0.851499,0.262761
-0.752244,-0.140901
-0.515345,-0.407982
-0.793862,0.263193
-0.682455,-0.00527718
-0.727018,0.102111
-0.709193,0.0591557
-0.716323,0.0763377
-0.57494,-0.228512
-0.34555,-0.403646
-0.86178,0.261458
-0.759536,-0.146004
-0.518846,-0.414777
-0.792462,0.265911
-0.683015,-0.00636437
-0.516546,-0.278043
-0.281358,-0.417931
-0.0466594,-0.430171
0.136607,-0.345593
0.242059,-0.208008
0.267168,-0.0612627
-1.10687,0.124505
-0.557253,0.050198
-0.443592,-0.184751
-0.822563,0.1739
-0.694708,-0.196861
-0.449234,-0.427498
-0.820306,0.270999
-0.671877,-0.00839964
-0.731249,0.10336
-0.597093,-0.213946
-0.368212,-0.401436
-0.852715,0.260575
-0.752293,-0.143049
-0.514523,-0.409635
-0.227184,-0.517132
0.0341931,-0.483894
0.219544,-0.354082
0.308486,-0.181285
0.306963,-0.0143817
-1.12279,0.105753
-0.550886,0.0576989
-0.779646,0.0769204
-0.623299,-0.253399
-0.75068,0.201359
-0.699728,0.0194562
-0.720109,0.0922175
-0.711956,0.063113
